participant_id,test_type,trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
void2,Pre,1,18707,720.00,0.00,5.00,Calmed,Calmed,100,241
void2,Pre,1,18710,720.00,0.00,5.00,Calmed,Calmed,100,242
void2,Pre,1,18712,720.00,0.00,5.00,Calmed,Calmed,100,243
void2,Pre,1,18714,720.00,0.00,5.00,Calmed,Calmed,100,244
void2,Pre,1,18717,720.00,0.00,5.00,Calmed,Calmed,100,245
void2,Pre,1,18720,720.00,0.00,5.00,Calmed,Calmed,100,246
void2,Pre,1,18725,720.00,0.00,5.00,Calmed,Calmed,100,247
void2,Pre,1,18728,720.00,0.00,5.00,Calmed,Calmed,100,248
void2,Pre,1,18730,720.00,0.00,5.00,Calmed,Calmed,100,249
void2,Pre,1,18733,720.00,0.00,5.00,Calmed,Calmed,100,250
void2,Pre,1,18736,720.00,0.00,5.00,Calmed,Calmed,100,251
void2,Pre,1,18739,720.00,0.00,5.00,Calmed,Calmed,100,252
void2,Pre,1,18742,720.00,0.00,5.00,Calmed,Calmed,100,253
void2,Pre,1,18744,720.00,0.00,5.00,Calmed,Calmed,100,254
void2,Pre,1,18747,721.00,1.00,5.00,Calmed,Calmed,100,255
void2,Pre,1,18750,721.00,1.00,5.00,Calmed,Calmed,100,256
void2,Pre,1,18752,721.00,1.00,5.00,Calmed,Calmed,100,257
void2,Pre,1,18758,721.00,1.00,5.00,Calmed,Calmed,100,258
void2,Pre,1,18761,721.00,1.00,5.00,Calmed,Calmed,100,259
void2,Pre,1,18764,721.00,1.00,5.00,Calmed,Calmed,100,260
void2,Pre,1,18767,721.00,1.00,5.00,Calmed,Calmed,100,261
void2,Pre,1,18770,721.00,1.00,5.00,Calmed,Calmed,100,262
void2,Pre,1,18773,721.00,1.00,5.00,Calmed,Calmed,100,263
void2,Pre,1,18776,721.00,1.00,5.00,Calmed,Calmed,100,264
void2,Pre,1,18779,721.00,1.00,5.00,Calmed,Calmed,100,265
void2,Pre,1,18781,721.00,1.00,5.00,Calmed,Calmed,100,266
void2,Pre,1,18784,721.00,1.00,5.00,Calmed,Calmed,100,267
void2,Pre,1,18787,721.00,1.00,5.00,Calmed,Calmed,100,268
